,DepDelayMinutes,ArrDelayMinutes,AirTime,ActualElapsedTime,Distance,Scor_Dimensiune_Zbor,Scor_Intarzieri
46991,0.0,0.0,77.0,103.0,551.0,-0.4988383299843117,-0.2639089371303678
46992,0.0,0.0,41.0,66.0,200.0,-1.019764738273403,-0.23162636955081115
46993,0.0,0.0,55.0,68.0,331.0,-0.790358066758682,-0.1802082576955646
46994,10.0,10.0,23.0,49.0,67.0,-1.2665267570531549,-0.025189743530986762
46995,43.0,30.0,51.0,67.0,349.0,-0.8602412670959442,0.38377364576326495
46996,16.0,31.0,121.0,146.0,873.0,0.2147665048681546,0.2791312124072119
46997,0.0,0.0,118.0,130.0,980.0,0.13235515170506812,-0.21530631817877713
46999,7.0,5.0,152.0,184.0,1242.0,0.570337110716106,-0.2655196348254092
47000,0.0,0.0,154.0,172.0,1242.0,0.6294266396881995,-0.2916566352557212
47001,0.0,0.0,90.0,111.0,657.0,-0.30174204484476636,-0.2515584523518183
47002,0.0,0.0,44.0,62.0,270.0,-0.954747991230704,-0.18895892283797716
